admission_id,gender,fee_range,fee_slab,loan,req_branch,alloted_branch,campus_req,campus_allotted,entrance_rank,admission_acceptance
QAHF7680,Male,42967.6,37590.75,No,Mechanical Engineering,Computer Science,City Campus,City Campus,971,No
KAFN0165,Male,75113.66,45560.81,No,Mechanical Engineering,Information Technology,City Campus,Suburban Campus,578,No
FPVA8631,Male,50439.62,28703.58,No,Mechanical Engineering,Electrical Engineering,Main Campus,City Campus,927,No
YICC8687,Male,61341.87,24546.13,No,Computer Science,Information Technology,City Campus,Main Campus,625,No
NZJO8685,Female,61221.07,33893.19,No,Mechanical Engineering,Mechanical Engineering,Main Campus,City Campus,720,No
SBFH0212,Male,73418.1,46556.12,No,Mechanical Engineering,Civil Engineering,Suburban Campus,City Campus,856,No
QJJF2966,Male,38306.31,22798.73,No,Mechanical Engineering,Electrical Engineering,Main Campus,Suburban Campus,784,No
ESEJ9656,Female,44656.28,41553.88,No,Computer Science,Chemical Engineering,City Campus,City Campus,827,No
VUFA3229,Female,48886.43,46532.06,No,Electrical Engineering,Civil Engineering,Suburban Campus,Suburban Campus,37,No
WIRK9422,Female,43838.11,44224.28,Yes,Computer Science,Computer Science,Main Campus,Suburban Campus,355,No
OGPX3295,Male,47107.6,39626.6,No,Computer Science,Electrical Engineering,Suburban Campus,Main Campus,73,No
CBCQ7403,Male,59282.32,43064.77,No,Electrical Engineering,Chemical Engineering,Suburban Campus,Main Campus,973,No
ZNZW0765,Male,53894.86,24831.41,No,Mechanical Engineering,Civil Engineering,Suburban Campus,City Campus,427,No
GQCL4982,Female,63640.23,48910.02,No,Computer Science,Civil Engineering,City Campus,City Campus,613,No
NEXW2661,Male,35040.46,35489.02,Yes,Mechanical Engineering,Information Technology,Suburban Campus,Suburban Campus,758,Yes
TOUN0309,Female,33052.82,41861.62,Yes,Mechanical Engineering,Electrical Engineering,Main Campus,Suburban Campus,628,Yes
WVHB8904,Male,67589.93,39541.85,No,Mechanical Engineering,Computer Science,Suburban Campus,Main Campus,952,No
BTTD4528,Female,30361.33,47906.82,Yes,Mechanical Engineering,Mechanical Engineering,Suburban Campus,Main Campus,83,Yes
LFOS2396,Male,59122.27,30242.46,No,Computer Science,Chemical Engineering,City Campus,Suburban Campus,909,No
LNDF3522,Female,79380.94,43560.56,No,Computer Science,Chemical Engineering,City Campus,Main Campus,565,No
BQFX8026,Male,34842.09,30170.62,No,Computer Science,Information Technology,Main Campus,Suburban Campus,491,No
FDYO4781,Male,56116.73,30809.49,No,Mechanical Engineering,Information Technology,Suburban Campus,City Campus,970,No
CLLM7690,Male,30363.1,45678.58,Yes,Electrical Engineering,Chemical Engineering,City Campus,Suburban Campus,133,Yes
KIWG1442,Male,60149.24,32927.04,No,Mechanical Engineering,Civil Engineering,City Campus,Suburban Campus,278,No
GYLW5098,Female,79344.84,46720.4,No,Electrical Engineering,Chemical Engineering,Main Campus,City Campus,741,No
ZYWE4240,Female,68068.2,43225.25,No,Mechanical Engineering,Civil Engineering,Suburban Campus,Suburban Campus,43,No
JZGU4499,Male,76606.42,31629.03,No,Electrical Engineering,Information Technology,Main Campus,Main Campus,107,No
OSEH9557,Female,53661.59,26264.62,No,Mechanical Engineering,Mechanical Engineering,Suburban Campus,Main Campus,37,No
BPNW1901,Male,46851.5,38311.62,No,Computer Science,Computer Science,Suburban Campus,Suburban Campus,509,Yes
PRGD8256,Female,51472.68,22249.95,No,Mechanical Engineering,Civil Engineering,Suburban Campus,City Campus,520,No
KPNY2723,Male,48539.26,24572.04,No,Electrical Engineering,Computer Science,City Campus,City Campus,231,No
RHIT0499,Male,74507.61,38833.69,No,Electrical Engineering,Civil Engineering,Main Campus,Main Campus,666,No
BFGY8831,Female,79972.26,34925.68,No,Electrical Engineering,Computer Science,Main Campus,City Campus,359,No
VSPZ6082,Male,70842.36,44141.79,No,Electrical Engineering,Civil Engineering,City Campus,Main Campus,442,No
RYDD1526,Female,77049.55,24278.68,No,Electrical Engineering,Chemical Engineering,City Campus,Suburban Campus,490,No
SFQG4980,Female,63253.91,46113.72,No,Computer Science,Chemical Engineering,Suburban Campus,Suburban Campus,311,No
LHAU6275,Female,48921.78,36414.08,No,Computer Science,Mechanical Engineering,City Campus,Main Campus,801,No
LABW9585,Male,32862.08,49068.41,Yes,Electrical Engineering,Electrical Engineering,Suburban Campus,City Campus,871,Yes
DDIX7882,Female,47801.46,43443.37,No,Mechanical Engineering,Electrical Engineering,City Campus,Main Campus,898,No
GCUW4619,Female,46512.76,22615.03,No,Computer Science,Chemical Engineering,Main Campus,City Campus,995,No
WZVW0739,Female,35008.87,22823.42,No,Electrical Engineering,Chemical Engineering,City Campus,City Campus,234,No
UWVG7188,Female,52845.96,29411.56,No,Computer Science,Computer Science,Main Campus,Suburban Campus,22,No
FVLH7201,Female,64915.41,48021.68,No,Computer Science,Information Technology,City Campus,Main Campus,954,No
IWZH6395,Male,66261.01,24844.17,No,Computer Science,Computer Science,Suburban Campus,Main Campus,57,No
YCZE9214,Female,74398.53,28403.52,No,Mechanical Engineering,Computer Science,City Campus,Main Campus,27,No
SIPN3527,Female,36943.15,30899.85,No,Computer Science,Information Technology,City Campus,City Campus,793,No
AYNS7630,Male,60095.46,22676.88,No,Electrical Engineering,Civil Engineering,City Campus,City Campus,801,No
RIIW7334,Male,73450.26,25375.59,No,Computer Science,Electrical Engineering,Main Campus,Suburban Campus,831,No
KHDK9696,Male,43973.38,43158.22,No,Computer Science,Information Technology,City Campus,City Campus,201,No
HOAH4564,Female,64963.23,27738.32,No,Mechanical Engineering,Civil Engineering,City Campus,Suburban Campus,548,No
LFMX7105,Female,70752.59,34197.83,No,Electrical Engineering,Civil Engineering,Suburban Campus,Suburban Campus,623,No
QIVT6210,Male,48421.49,27680.79,No,Mechanical Engineering,Electrical Engineering,Suburban Campus,Suburban Campus,881,No
GMWB4616,Female,60917.58,46299.74,No,Computer Science,Mechanical Engineering,Main Campus,Suburban Campus,389,No
MGRA7714,Male,62943.81,39508.76,No,Mechanical Engineering,Chemical Engineering,Suburban Campus,City Campus,699,No
